#OPEN_EXPORT: 2020.4.14.1354
#Datum vytvoøení souboru: 15.04.2020 14:12
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
B2LYSI01;Lysice;01.05.1963;31.05.1982;16,5322;49,4531;370
B2LYSI01;Lysice;01.06.1982;31.08.1987;16,5361;49,4497;373
B2LYSI01;Lysice;01.09.1987;31.08.1995;16,5419;49,4536;355
B2LYSI01;Lysice;01.09.1995;31.12.1999;16,5367;49,4575;410

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje
Teplomìr;01.09.1987;31.12.1999;2

PRVEK
Prùmìrná denní teplota vzduchu [T.AVG, °C]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
1991;01;1;1,3;
1991;01;2;,2;
1991;01;3;4,2;
1991;01;4;3,7;
1991;01;5;2;
1991;01;6;2,4;
1991;01;7;,2;
1991;01;8;1;
1991;01;9;2;
1991;01;10;3,2;
1991;01;11;4,2;
1991;01;12;3,7;
1991;01;13;1,1;
1991;01;14;-2,5;
1991;01;15;-3,7;
1991;01;16;-5,8;
1991;01;17;-6,7;
1991;01;18;-1,9;
1991;01;19;-3,5;
1991;01;20;-7,9;
1991;01;21;-4,6;
1991;01;22;-1,1;
1991;01;23;,8;
1991;01;24;,3;
1991;01;25;-,5;
1991;01;26;-1;
1991;01;27;-,3;
1991;01;28;-,6;
1991;01;29;-,1;
1991;01;30;-4,8;
1991;01;31;-10,1;
1991;02;1;-11,8;
1991;02;2;-11,3;
1991;02;3;-9,3;
1991;02;4;-7,6;
1991;02;5;-13,7;
1991;02;6;-11;
1991;02;7;-6,6;
1991;02;8;-2,4;
1991;02;9;-2,7;
1991;02;10;,7;
1991;02;11;-4,2;
1991;02;12;-4,7;
1991;02;13;-4,4;
1991;02;14;-6,4;
1991;02;15;-6,3;
1991;02;16;-3,9;
1991;02;17;-5,7;
1991;02;18;-7;
1991;02;19;-5,1;
1991;02;20;-2,1;
1991;02;21;-3,4;
1991;02;22;,3;
1991;02;23;1,8;
1991;02;24;2,3;
1991;02;25;1;
1991;02;26;2,8;
1991;02;27;-1,8;
1991;02;28;-2,3;
1991;03;1;,5;
1991;03;2;1,4;
1991;03;3;1,7;
1991;03;4;2;
1991;03;5;1,6;
1991;03;6;3,6;
1991;03;7;4,4;
1991;03;8;6,2;
1991;03;9;6;
1991;03;10;4,9;
1991;03;11;5;
1991;03;12;4;
1991;03;13;5,5;
1991;03;14;6,1;
1991;03;15;6,9;
1991;03;16;7;
1991;03;17;6,1;
1991;03;18;6,6;
1991;03;19;7;
1991;03;20;9,1;
1991;03;21;9,6;
1991;03;22;9,7;
1991;03;23;7,3;
1991;03;24;11;
1991;03;25;5,9;
1991;03;26;2,2;
1991;03;27;2,9;
1991;03;28;2,5;
1991;03;29;1,7;
1991;03;30;3,9;
1991;03;31;3,8;
1991;04;1;5,7;
1991;04;2;8,8;
1991;04;3;8,9;
1991;04;4;9,8;
1991;04;5;9,4;
1991;04;6;9,2;
1991;04;7;7,7;
1991;04;8;7,4;
1991;04;9;6,1;
1991;04;10;4,4;
1991;04;11;7,9;
1991;04;12;7,9;
1991;04;13;9,8;
1991;04;14;9,5;
1991;04;15;9,3;
1991;04;16;6,2;
1991;04;17;3,2;
1991;04;18;2,6;
1991;04;19;2,3;
1991;04;20;1,8;
1991;04;21;1,9;
1991;04;22;2,2;
1991;04;23;2,9;
1991;04;24;4,5;
1991;04;25;4,4;
1991;04;26;6,1;
1991;04;27;8,3;
1991;04;28;8,9;
1991;04;29;10;
1991;04;30;8,1;
1991;05;1;11,1;
1991;05;2;11,1;
1991;05;3;8,1;
1991;05;4;4,7;
1991;05;5;5,7;
1991;05;6;9,1;
1991;05;7;7,3;
1991;05;8;4,7;
1991;05;9;8,3;
1991;05;10;9,9;
1991;05;11;11,7;
1991;05;12;10,8;
1991;05;13;9,3;
1991;05;14;11,2;
1991;05;15;6,7;
1991;05;16;7,2;
1991;05;17;6,5;
1991;05;18;6,4;
1991;05;19;8,6;
1991;05;20;12,1;
1991;05;21;14,9;
1991;05;22;15,7;
1991;05;23;7,3;
1991;05;24;6,2;
1991;05;25;6,4;
1991;05;26;5,7;
1991;05;27;9,8;
1991;05;28;10,9;
1991;05;29;11;
1991;05;30;13,8;
1991;05;31;14,6;
1991;06;1;15,7;
1991;06;2;11,3;
1991;06;3;11,4;
1991;06;4;10,4;
1991;06;5;9,1;
1991;06;6;11,6;
1991;06;7;13,6;
1991;06;8;16,1;
1991;06;9;15;
1991;06;10;16,2;
1991;06;11;13,8;
1991;06;12;15,6;
1991;06;13;16,3;
1991;06;14;14,5;
1991;06;15;17,7;
1991;06;16;18,1;
1991;06;17;16,5;
1991;06;18;11,1;
1991;06;19;12,3;
1991;06;20;13,3;
1991;06;21;13,3;
1991;06;22;14,4;
1991;06;23;19,9;
1991;06;24;17,7;
1991;06;25;17,4;
1991;06;26;19,4;
1991;06;27;16,3;
1991;06;28;12,7;
1991;06;29;12,1;
1991;06;30;13;
1991;07;1;17,2;
1991;07;2;19,2;
1991;07;3;18,8;
1991;07;4;21,3;
1991;07;5;21;
1991;07;6;21,3;
1991;07;7;20,8;
1991;07;8;21,9;
1991;07;9;20,5;
1991;07;10;21,5;
1991;07;11;21,9;
1991;07;12;22,8;
1991;07;13;20,1;
1991;07;14;17,5;
1991;07;15;16,9;
1991;07;16;17,1;
1991;07;17;18,6;
1991;07;18;16,7;
1991;07;19;18,7;
1991;07;20;19,4;
1991;07;21;16,9;
1991;07;22;15,7;
1991;07;23;16,6;
1991;07;24;18,6;
1991;07;25;17;
1991;07;26;13,2;
1991;07;27;15,4;
1991;07;28;19;
1991;07;29;19,5;
1991;07;30;19,8;
1991;07;31;20,2;
1991;08;1;19,1;
1991;08;2;18,8;
1991;08;3;18,3;
1991;08;4;19,4;
1991;08;5;19,4;
1991;08;6;20,7;
1991;08;7;21,9;
1991;08;8;22,7;
1991;08;9;20;
1991;08;10;18,2;
1991;08;11;20,4;
1991;08;12;18,8;
1991;08;13;17,2;
1991;08;14;16,7;
1991;08;15;15;
1991;08;16;16,3;
1991;08;17;16,8;
1991;08;18;14,7;
1991;08;19;12,9;
1991;08;20;13,6;
1991;08;21;13,4;
1991;08;22;14;
1991;08;23;18,3;
1991;08;24;18,5;
1991;08;25;16,9;
1991;08;26;14,4;
1991;08;27;14,7;
1991;08;28;13,6;
1991;08;29;13,5;
1991;08;30;13,2;
1991;08;31;14,3;
1991;09;1;14,7;
1991;09;2;15,3;
1991;09;3;16,2;
1991;09;4;16,6;
1991;09;5;17,9;
1991;09;6;12,9;
1991;09;7;10,9;
1991;09;8;10,5;
1991;09;9;11,7;
1991;09;10;14,5;
1991;09;11;14,8;
1991;09;12;12,2;
1991;09;13;14,2;
1991;09;14;14,6;
1991;09;15;15,6;
1991;09;16;15,5;
1991;09;17;14,4;
1991;09;18;11,5;
1991;09;19;12,2;
1991;09;20;13,6;
1991;09;21;11,1;
1991;09;22;13,6;
1991;09;23;12,4;
1991;09;24;12,4;
1991;09;25;12,6;
1991;09;26;16,9;
1991;09;27;12,2;
1991;09;28;10,9;
1991;09;29;17,6;
1991;09;30;17,3;
1991;10;1;11,9;
1991;10;2;10,2;
1991;10;3;7,2;
1991;10;4;7,7;
1991;10;5;7,6;
1991;10;6;10,5;
1991;10;7;11,2;
1991;10;8;12;
1991;10;9;10,8;
1991;10;10;10,8;
1991;10;11;12,2;
1991;10;12;13,8;
1991;10;13;13,9;
1991;10;14;11,4;
1991;10;15;11,5;
1991;10;16;9,7;
1991;10;17;9,9;
1991;10;18;8,3;
1991;10;19;5,6;
1991;10;20;1,8;
1991;10;21;2,1;
1991;10;22;3,2;
1991;10;23;2,5;
1991;10;24;3;
1991;10;25;1;
1991;10;26;-1,4;
1991;10;27;-2,8;
1991;10;28;-2,9;
1991;10;29;,3;
1991;10;30;-2,4;
1991;10;31;-2,7;
1991;11;1;-,9;
1991;11;2;1;
1991;11;3;2,8;
1991;11;4;5,4;
1991;11;5;4,4;
1991;11;6;1;
1991;11;7;,6;
1991;11;8;6,5;
1991;11;9;4,4;
1991;11;10;1,7;
1991;11;11;1,2;
1991;11;12;2,5;
1991;11;13;6;
1991;11;14;4,4;
1991;11;15;2,9;
1991;11;16;4;
1991;11;17;2,6;
1991;11;18;,6;
1991;11;19;1,3;
1991;11;20;3,6;
1991;11;21;1,5;
1991;11;22;,4;
1991;11;23;1,4;
1991;11;24;3;
1991;11;25;5,8;
1991;11;26;7,2;
1991;11;27;5,5;
1991;11;28;4,9;
1991;11;29;3;
1991;11;30;1,5;
1991;12;1;1,5;
1991;12;2;-,5;
1991;12;3;-2;
1991;12;4;-,5;
1991;12;5;1,2;
1991;12;6;-2;
1991;12;7;-2,2;
1991;12;8;-9,4;
1991;12;9;-10,9;
1991;12;10;-4,7;
1991;12;11;-5,5;
1991;12;12;-9,8;
1991;12;13;-11,5;
1991;12;14;-8,9;
1991;12;15;-,3;
1991;12;16;-3,2;
1991;12;17;-5,7;
1991;12;18;-,1;
1991;12;19;,5;
1991;12;20;2;
1991;12;21;-,4;
1991;12;22;,9;
1991;12;23;1,9;
1991;12;24;2,2;
1991;12;25;-,7;
1991;12;26;-,7;
1991;12;27;2;
1991;12;28;-1,8;
1991;12;29;-1,2;
1991;12;30;3,1;
1991;12;31;-2,1;
1992;01;1;-5,5;
1992;01;2;-2;
1992;01;3;-2,6;
1992;01;4;-,4;
1992;01;5;2,4;
1992;01;6;5,6;
1992;01;7;2,6;
1992;01;8;-,7;
1992;01;9;-,3;
1992;01;10;,7;
1992;01;11;-,2;
1992;01;12;2;
1992;01;13;-,6;
1992;01;14;1,7;
1992;01;15;4,2;
1992;01;16;3;
1992;01;17;1,9;
1992;01;18;1,9;
1992;01;19;2,8;
1992;01;20;-6;
1992;01;21;-7,4;
1992;01;22;-5,8;
1992;01;23;-1,8;
1992;01;24;-,9;
1992;01;25;-2,7;
1992;01;26;-3;
1992;01;27;-,4;
1992;01;28;-,1;
1992;01;29;-,2;
1992;01;30;1,6;
1992;01;31;1,7;
1992;02;1;,9;
1992;02;2;,6;
1992;02;3;1,2;
1992;02;4;1,4;
1992;02;5;1,6;
1992;02;6;3,6;
1992;02;7;5,9;
1992;02;8;2,6;
1992;02;9;1,7;
1992;02;10;2,2;
1992;02;11;3,7;
1992;02;12;4,2;
1992;02;13;6;
1992;02;14;4,5;
1992;02;15;4,6;
1992;02;16;3,2;
1992;02;17;-1,4;
1992;02;18;-3,4;
1992;02;19;-1,3;
1992;02;20;-1,2;
1992;02;21;,8;
1992;02;22;,6;
1992;02;23;3,3;
1992;02;24;1,5;
1992;02;25;,2;
1992;02;26;1,9;
